seed,step,n_live,mse
1,80,128,0.08727356046438217
1,81,128,0.09861544519662857
1,82,127,0.09168475866317749
1,83,125,0.099580779671669
1,84,125,0.08240441977977753
1,85,122,0.08543399721384048
1,86,120,0.08628487586975098
1,87,120,0.08082816004753113
1,88,120,0.0939755067229271
1,89,119,0.09951357543468475
1,90,118,0.08698990941047668
1,91,118,0.07693354785442352
1,92,118,0.08905129879713058
1,93,117,0.0909232497215271
1,94,117,0.11732757836580276
1,95,116,0.11522005498409271
1,96,112,0.0970076322555542
1,97,112,0.09869630634784698
1,98,111,0.11072411388158798
1,99,110,0.11273795366287231
1,100,108,0.09926293790340424
1,101,108,0.07946744561195374
