"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"mlp","truncation","0.5","4","12349","10322","0.138632","0.955","0.0561","0.0"
"mlp","truncation","0.75","4","12349","9375","0.143133","0.975","0.0483","0.015"
"mlp","truncation","0.9","4","12349","8672","0.148155","0.91","0.0726","0.035"
"mlp","truncation","1.0","4","12349","8190","0.147855","0.955","0.0554","0.015"
"mlp","inconsistent_strategy","0.25","4","12349","13882","0.167087","0.995","0.043","0.0"
"mlp","inconsistent_strategy","0.5","4","12349","15682","0.220213","0.825","0.0569","0.0"
"mlp","inconsistent_strategy","0.75","4","12349","17063","0.262392","0.505","0.0687","0.0"
"mlp","inconsistent_strategy","0.9","4","12349","17540","0.302844","0.47","0.0751","0.0"
"mlp","inconsistent_strategy","1.0","4","12349","18091","0.321048","0.4","0.0833","0.0"
"mlp","clean","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","occlusion","0.25","5","12350","11964","0.134315","0.86","0.0866","0.01"
"mlp","occlusion","0.5","5","12350","12129","0.153063","0.835","0.0984","0.02"
"mlp","occlusion","0.75","5","12350","12171","0.162498","0.895","0.0781","0.015"
"mlp","occlusion","0.9","5","12350","11979","0.179286","0.855","0.0928","0.035"
"mlp","occlusion","1.0","5","12350","12104","0.185918","0.895","0.078","0.04"
"mlp","accidental_success","0.25","5","12350","10376","0.132982","0.88","0.0793","0.015"
"mlp","accidental_success","0.5","5","12350","9088","0.153958","0.825","0.0975","0.03"
"mlp","accidental_success","0.75","5","12350","7567","0.208581","0.975","0.0473","0.005"
"mlp","accidental_success","0.9","5","12350","6739","0.296645","0.575","0.21","0.295"
"mlp","accidental_success","1.0","5","12350","6155","0.461006","0.005","0.3204","0.16"
"mlp","flailing","0.25","5","12350","12341","0.121701","0.935","0.0621","0.01"
"mlp","flailing","0.5","5","12350","12923","0.126918","0.975","0.0475","0.0"
"mlp","flailing","0.75","5","12350","13194","0.129907","0.95","0.0577","0.005"
"mlp","flailing","0.9","5","12350","13451","0.122054","0.95","0.0571","0.005"
"mlp","flailing","1.0","5","12350","13552","0.128284","0.94","0.0582","0.005"
"mlp","truncation","0.25","5","12350","11040","0.129434","0.935","0.06","0.0"
"mlp","truncation","0.5","5","12350","10246","0.139288","0.8","0.1096","0.005"
"mlp","truncation","0.75","5","12350","9394","0.135357","0.975","0.0482","0.0"
"mlp","truncation","0.9","5","12350","8553","0.145075","0.975","0.051","0.015"
"mlp","truncation","1.0","5","12350","8251","0.145583","0.985","0.0425","0.0"
"mlp","inconsistent_strategy","0.25","5","12350","13391","0.164708","0.975","0.0494","0.0"
"mlp","inconsistent_strategy","0.5","5","12350","15342","0.205755","0.99","0.0457","0.0"
"mlp","inconsistent_strategy","0.75","5","12350","17136","0.247553","0.72","0.0567","0.0"
"mlp","inconsistent_strategy","0.9","5","12350","17708","0.279463","0.58","0.074","0.0"
"mlp","inconsistent_strategy","1.0","5","12350","19129","0.319352","0.09","0.1036","0.0"
"mlp","occlusion","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","accidental_success","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","flailing","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","truncation","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","inconsistent_strategy","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","occlusion","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","accidental_success","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","flailing","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","truncation","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","inconsistent_strategy","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","occlusion","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","accidental_success","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","flailing","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","truncation","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","inconsistent_strategy","0.0","5","12350","12156","0.118166","0.95","0.0563","0.01"
"mlp","clean","0.0","6","12351","12474","0.121204","0.935","0.06","0.0"
"mlp","occlusion","0.25","6","12351","12010","0.139422","0.915","0.0681","0.015"
"mlp","occlusion","0.5","6","12351","12306","0.156667","0.94","0.0587","0.02"
"mlp","occlusion","0.75","6","12351","12346","0.157966","0.935","0.0614","0.02"
"mlp","occlusion","0.9","6","12351","12320","0.174044","0.91","0.0699","0.04"
"mlp","occlusion","1.0","6","12351","11902","0.190149","0.805","0.1049","0.035"
"mlp","accidental_success","0.25","6","12351","10521","0.138489","0.945","0.0568","0.0"
"mlp","accidental_success","0.5","6","12351","9259","0.159763","0.94","0.0567","0.01"
"mlp","accidental_success","0.75","6","12351","7445","0.235567","0.78","0.122","0.13"
"mlp","accidental_success","0.9","6","12351","6633","0.286261","0.6","0.1966","0.255"
